age,job,marital,education,default,housing,loan,contact,month,poutcome,y
46,management,married,secondary,no,no,yes,cellular,jul,unknown,no
55,blue-collar,single,secondary,no,no,yes,cellular,jul,unknown,no
41,housemaid,married,primary,no,no,no,cellular,jul,unknown,no
59,management,single,tertiary,no,yes,no,cellular,jul,unknown,no
39,technician,married,secondary,no,yes,yes,cellular,jul,unknown,no
26,technician,divorced,tertiary,no,yes,yes,cellular,jul,unknown,no
33,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,no
32,technician,single,secondary,no,no,yes,cellular,jul,unknown,no
41,technician,divorced,secondary,no,no,no,cellular,jul,unknown,no
29,services,married,secondary,no,no,no,cellular,jul,unknown,no
31,blue-collar,single,secondary,no,no,no,cellular,jul,unknown,no
37,admin.,married,secondary,no,no,yes,cellular,jul,unknown,no
50,admin.,single,secondary,no,no,yes,cellular,jul,unknown,no
27,management,single,tertiary,no,no,yes,cellular,jul,unknown,no
47,management,married,tertiary,no,no,yes,cellular,jul,unknown,no
47,technician,single,secondary,no,yes,yes,cellular,jul,unknown,yes
47,housemaid,married,tertiary,no,no,no,telephone,jul,unknown,no
51,services,married,secondary,no,yes,no,cellular,jul,unknown,no
57,retired,married,secondary,no,no,yes,cellular,jul,unknown,no
44,technician,divorced,secondary,no,yes,no,cellular,jul,unknown,no
51,management,married,tertiary,no,no,no,cellular,jul,unknown,no
28,blue-collar,married,primary,no,no,no,cellular,jul,unknown,no
41,admin.,single,secondary,no,yes,yes,cellular,jul,unknown,no
30,management,single,secondary,no,no,yes,cellular,jul,unknown,no
25,blue-collar,single,secondary,no,yes,no,cellular,jul,unknown,no
32,admin.,single,secondary,no,no,yes,cellular,jul,unknown,no
40,services,married,secondary,no,yes,yes,cellular,jul,unknown,no
31,services,single,secondary,no,yes,yes,cellular,jul,unknown,no
30,unemployed,married,secondary,no,yes,yes,cellular,jul,unknown,no
25,services,single,secondary,no,no,yes,cellular,jul,unknown,no
45,blue-collar,married,secondary,no,no,no,telephone,jul,unknown,no
49,blue-collar,married,primary,yes,no,yes,cellular,jul,unknown,no
32,admin.,single,secondary,no,no,no,cellular,jul,unknown,yes
52,blue-collar,married,primary,no,no,no,cellular,jul,unknown,no
35,management,single,tertiary,no,no,no,cellular,jul,unknown,no
60,retired,divorced,tertiary,no,no,no,cellular,jul,unknown,no
33,blue-collar,single,primary,yes,no,yes,cellular,jul,unknown,no
43,management,married,tertiary,no,no,no,cellular,jul,unknown,no
42,admin.,married,secondary,no,yes,no,cellular,jul,unknown,no
50,technician,married,unknown,no,no,no,cellular,jul,unknown,no
33,services,single,secondary,no,yes,yes,cellular,jul,unknown,no
42,technician,married,secondary,no,yes,no,cellular,jul,unknown,no
26,blue-collar,single,secondary,yes,no,yes,cellular,jul,unknown,no
25,technician,single,tertiary,no,no,no,cellular,jul,unknown,no
26,admin.,married,secondary,no,yes,yes,cellular,jul,unknown,no
39,admin.,divorced,secondary,no,no,yes,cellular,jul,unknown,no
39,services,married,secondary,no,no,yes,cellular,jul,unknown,no
31,technician,single,secondary,no,yes,no,cellular,jul,unknown,no
52,unemployed,married,tertiary,no,no,no,cellular,jul,unknown,no
28,admin.,single,secondary,no,no,no,cellular,jul,unknown,no
46,blue-collar,married,primary,no,no,no,telephone,jul,unknown,no
28,services,single,secondary,no,no,no,cellular,jul,unknown,no
54,housemaid,married,secondary,no,no,yes,cellular,jul,unknown,no
45,blue-collar,married,primary,no,no,no,cellular,jul,unknown,no
58,entrepreneur,married,primary,no,yes,no,cellular,jul,unknown,no
42,blue-collar,single,secondary,no,no,no,cellular,jul,unknown,no
34,blue-collar,single,secondary,no,yes,no,cellular,jul,unknown,no
50,technician,married,secondary,no,no,no,cellular,jul,unknown,no
59,blue-collar,married,primary,no,no,no,cellular,jul,unknown,no
56,blue-collar,married,secondary,no,no,no,telephone,jul,unknown,no
58,technician,divorced,secondary,no,yes,yes,cellular,jul,unknown,no
31,management,married,tertiary,no,no,yes,cellular,jul,unknown,no
58,blue-collar,divorced,secondary,no,no,no,cellular,jul,unknown,no
25,services,single,secondary,no,no,yes,cellular,jul,unknown,no
32,blue-collar,single,secondary,no,no,no,cellular,jul,unknown,no
38,blue-collar,married,primary,no,no,no,cellular,jul,unknown,no
33,management,single,secondary,no,no,yes,cellular,jul,unknown,no
37,admin.,married,secondary,no,yes,no,cellular,jul,unknown,no
38,management,married,tertiary,no,yes,no,cellular,jul,unknown,no
31,management,single,tertiary,no,yes,no,cellular,jul,unknown,no
52,blue-collar,divorced,secondary,no,no,yes,cellular,jul,unknown,no
27,admin.,single,secondary,no,no,yes,cellular,jul,unknown,no
25,blue-collar,married,primary,no,no,no,cellular,jul,unknown,no
31,admin.,single,tertiary,no,no,yes,cellular,jul,unknown,no
35,management,married,tertiary,no,no,yes,cellular,jul,unknown,no
28,unemployed,single,secondary,yes,no,yes,telephone,jul,unknown,no
29,blue-collar,married,secondary,no,yes,yes,cellular,jul,unknown,no
33,technician,married,secondary,no,yes,yes,cellular,jul,unknown,no
39,services,married,secondary,no,no,no,cellular,jul,unknown,no
47,blue-collar,married,secondary,yes,yes,yes,cellular,jul,unknown,no
39,blue-collar,married,unknown,no,no,no,cellular,jul,unknown,no
50,technician,married,secondary,no,no,no,telephone,jul,unknown,no
50,self-employed,divorced,tertiary,no,no,no,cellular,jul,unknown,no
49,management,married,tertiary,no,no,no,cellular,jul,unknown,no
44,entrepreneur,married,primary,no,no,no,cellular,jul,unknown,no
28,technician,single,secondary,no,no,yes,cellular,jul,unknown,no
31,services,single,secondary,no,no,no,cellular,jul,unknown,no
47,housemaid,married,secondary,no,no,no,telephone,jul,unknown,no
30,technician,married,tertiary,no,yes,yes,cellular,jul,unknown,no
29,blue-collar,single,secondary,no,no,no,cellular,jul,unknown,no
51,blue-collar,married,primary,no,no,no,cellular,jul,unknown,no
44,admin.,divorced,tertiary,no,yes,no,cellular,jul,unknown,no
43,management,married,secondary,no,no,yes,telephone,jul,unknown,no
44,services,married,secondary,no,yes,no,cellular,jul,unknown,no
41,admin.,married,secondary,no,yes,no,cellular,jul,unknown,no
59,blue-collar,divorced,primary,no,no,no,cellular,jul,unknown,no
49,self-employed,single,secondary,no,yes,no,cellular,jul,unknown,no
31,technician,single,secondary,no,no,no,cellular,jul,unknown,no
50,entrepreneur,divorced,tertiary,no,no,no,cellular,jul,unknown,no
33,entrepreneur,married,secondary,no,no,yes,cellular,jul,unknown,no
58,blue-collar,married,primary,no,no,no,cellular,jul,unknown,no
36,blue-collar,single,tertiary,no,no,no,cellular,jul,unknown,no
35,management,married,tertiary,no,no,no,cellular,jul,unknown,no
30,admin.,single,secondary,no,no,yes,cellular,jul,unknown,no
27,blue-collar,single,primary,no,no,yes,cellular,jul,unknown,no
35,management,married,tertiary,no,no,yes,cellular,jul,unknown,no
53,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,no
35,blue-collar,single,secondary,no,yes,no,telephone,jul,unknown,no
60,management,married,tertiary,yes,no,yes,cellular,jul,unknown,no
27,blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,no
54,self-employed,married,secondary,no,yes,no,telephone,jul,unknown,no
48,self-employed,married,secondary,no,no,no,cellular,jul,unknown,no
40,management,divorced,secondary,no,yes,no,cellular,jul,unknown,no
26,blue-collar,single,secondary,no,no,yes,telephone,jul,unknown,no
38,technician,married,secondary,no,yes,yes,cellular,jul,unknown,no
31,blue-collar,married,primary,no,no,yes,telephone,jul,unknown,no
46,blue-collar,married,primary,no,no,no,cellular,jul,unknown,no
27,management,single,tertiary,no,yes,no,cellular,jul,unknown,no
53,blue-collar,married,primary,no,no,no,cellular,jul,unknown,no
40,blue-collar,married,primary,yes,no,yes,cellular,jul,unknown,no
43,entrepreneur,married,secondary,no,yes,no,telephone,jul,unknown,no
37,blue-collar,married,unknown,no,yes,no,cellular,jul,unknown,no
31,housemaid,married,primary,no,yes,yes,telephone,jul,unknown,no
28,self-employed,married,secondary,no,yes,yes,cellular,jul,unknown,no
43,blue-collar,married,primary,no,no,no,telephone,jul,unknown,no
28,blue-collar,married,secondary,no,no,no,telephone,jul,unknown,no
47,services,married,secondary,no,no,yes,cellular,jul,unknown,no
43,entrepreneur,single,tertiary,no,no,no,cellular,jul,unknown,no
57,technician,married,tertiary,no,no,yes,cellular,jul,unknown,no
58,retired,single,secondary,no,no,yes,cellular,jul,unknown,no
25,blue-collar,married,secondary,no,no,no,cellular,jul,unknown,no
31,blue-collar,single,secondary,no,no,no,cellular,jul,unknown,yes
47,technician,married,primary,no,no,no,telephone,jul,unknown,no
43,unknown,married,secondary,no,no,no,telephone,jul,unknown,no
27,services,married,secondary,no,no,yes,cellular,jul,unknown,no
45,entrepreneur,married,secondary,no,no,no,cellular,jul,unknown,no
31,management,married,tertiary,no,yes,no,cellular,jul,unknown,no
33,technician,married,secondary,no,no,no,cellular,jul,unknown,no
31,blue-collar,single,secondary,no,no,yes,cellular,jul,unknown,no
32,services,single,secondary,no,yes,no,cellular,jul,unknown,no
41,housemaid,married,primary,no,no,no,cellular,jul,unknown,no
31,admin.,single,secondary,no,no,yes,cellular,jul,unknown,no
30,services,single,secondary,no,no,yes,cellular,jul,unknown,no
44,blue-collar,single,primary,no,no,no,telephone,jul,unknown,no
28,student,single,secondary,no,no,no,cellular,jul,unknown,no
31,entrepreneur,divorced,tertiary,no,no,yes,cellular,jul,unknown,no
36,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,no
25,unknown,single,secondary,no,no,no,cellular,jul,unknown,no
25,technician,single,secondary,no,yes,yes,cellular,jul,unknown,no
27,blue-collar,married,primary,no,no,yes,cellular,jul,unknown,no
60,management,married,tertiary,no,no,no,telephone,jul,unknown,no
36,blue-collar,single,unknown,yes,yes,no,telephone,jul,unknown,no
49,blue-collar,married,primary,no,no,no,cellular,jul,unknown,no
25,blue-collar,single,secondary,no,no,no,cellular,jul,unknown,no
46,management,married,tertiary,no,yes,no,cellular,jul,unknown,no
50,technician,married,tertiary,no,no,yes,cellular,jul,unknown,no
50,blue-collar,divorced,primary,no,no,no,cellular,jul,unknown,no
33,admin.,married,tertiary,no,no,no,cellular,jul,unknown,no
42,management,married,secondary,no,no,no,cellular,jul,unknown,no
30,admin.,single,secondary,no,no,no,cellular,jul,unknown,no
42,technician,single,tertiary,no,no,no,cellular,jul,unknown,no
28,admin.,married,secondary,no,no,yes,cellular,jul,unknown,no
34,entrepreneur,married,tertiary,no,yes,yes,cellular,jul,unknown,no
33,management,married,tertiary,no,no,no,cellular,jul,unknown,no
26,entrepreneur,married,secondary,no,no,yes,cellular,jul,unknown,no
29,admin.,single,secondary,no,no,yes,cellular,jul,unknown,no
28,admin.,single,secondary,no,no,yes,cellular,jul,unknown,no
32,technician,divorced,tertiary,no,no,yes,cellular,jul,unknown,no
45,services,married,secondary,no,no,yes,cellular,jul,unknown,no
59,retired,married,secondary,no,no,no,cellular,jul,unknown,no
46,unemployed,married,secondary,no,no,no,cellular,jul,unknown,no
32,management,married,tertiary,no,yes,no,cellular,jul,unknown,no
44,management,divorced,tertiary,no,no,yes,cellular,jul,unknown,no
26,blue-collar,single,secondary,no,no,no,telephone,jul,unknown,no
53,management,married,secondary,no,no,yes,telephone,jul,unknown,no
46,blue-collar,married,primary,no,yes,yes,cellular,jul,unknown,no
35,entrepreneur,married,primary,no,no,yes,cellular,jul,unknown,no
56,blue-collar,divorced,primary,no,no,no,cellular,jul,unknown,no
60,management,married,primary,no,no,yes,cellular,jul,unknown,no
36,technician,married,secondary,no,no,no,cellular,jul,unknown,no
29,blue-collar,single,primary,no,yes,no,cellular,jul,unknown,no
60,technician,divorced,primary,no,no,yes,telephone,jul,unknown,no
55,management,married,tertiary,no,no,yes,cellular,jul,unknown,no
27,management,single,tertiary,no,no,yes,cellular,jul,unknown,no
33,technician,married,tertiary,no,no,no,cellular,jul,unknown,no
33,management,single,tertiary,no,no,no,cellular,jul,unknown,no
55,retired,married,primary,no,no,no,cellular,jul,unknown,no
28,blue-collar,single,secondary,no,no,no,cellular,jul,unknown,no
28,self-employed,single,tertiary,no,no,yes,cellular,jul,unknown,no
26,admin.,single,secondary,no,no,yes,cellular,jul,unknown,no
31,management,single,tertiary,no,no,yes,cellular,jul,unknown,yes
39,admin.,single,secondary,no,no,yes,cellular,jul,unknown,no
26,management,single,tertiary,no,no,yes,cellular,jul,unknown,no
27,services,married,primary,no,no,yes,cellular,jul,unknown,no
42,blue-collar,single,primary,no,yes,yes,cellular,jul,unknown,no
42,management,divorced,secondary,no,no,no,cellular,jul,unknown,no
34,technician,divorced,secondary,no,yes,no,cellular,jul,unknown,no
32,technician,married,secondary,no,yes,yes,cellular,jul,unknown,no
35,self-employed,married,tertiary,no,no,no,cellular,jul,unknown,no
33,entrepreneur,married,secondary,no,yes,yes,cellular,jul,unknown,yes
52,entrepreneur,married,tertiary,yes,no,no,cellular,jul,unknown,yes
30,blue-collar,divorced,secondary,no,no,yes,cellular,jul,unknown,no
25,management,single,tertiary,no,yes,yes,cellular,jul,unknown,no
34,self-employed,married,tertiary,no,no,no,cellular,jul,unknown,no
45,blue-collar,married,secondary,yes,yes,no,telephone,jul,unknown,no
27,admin.,single,secondary,no,no,yes,cellular,jul,unknown,no
36,admin.,married,secondary,no,no,yes,cellular,jul,unknown,no
51,admin.,married,secondary,no,no,yes,cellular,jul,unknown,no
26,technician,single,tertiary,no,no,yes,cellular,jul,unknown,no
32,management,married,tertiary,yes,no,no,cellular,jul,unknown,no
58,retired,divorced,tertiary,no,yes,yes,cellular,jul,unknown,no
57,retired,married,tertiary,no,no,yes,cellular,jul,unknown,no
56,retired,married,tertiary,no,no,no,cellular,jul,unknown,no
58,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,no
25,blue-collar,single,secondary,yes,no,no,cellular,jul,unknown,no
34,housemaid,married,secondary,no,yes,yes,cellular,jul,unknown,no
27,technician,single,secondary,yes,no,yes,cellular,jul,unknown,yes
29,services,single,secondary,no,no,no,cellular,jul,unknown,no
36,management,married,tertiary,no,no,no,cellular,jul,unknown,no
46,management,single,tertiary,no,no,no,cellular,jul,unknown,no
32,blue-collar,married,primary,no,no,yes,cellular,jul,unknown,no
55,blue-collar,married,primary,no,no,no,telephone,jul,unknown,no
28,unemployed,married,secondary,no,no,no,cellular,jul,unknown,no
26,admin.,single,secondary,no,no,yes,cellular,jul,unknown,no
39,services,single,secondary,no,no,yes,cellular,jul,unknown,no
55,management,married,secondary,no,no,no,cellular,jul,unknown,no
33,entrepreneur,married,secondary,yes,no,yes,cellular,jul,unknown,no
29,housemaid,married,primary,no,no,yes,cellular,jul,unknown,no
45,technician,divorced,secondary,no,no,yes,cellular,jul,unknown,no
25,services,single,secondary,no,no,no,cellular,jul,unknown,no
55,entrepreneur,married,tertiary,no,no,yes,cellular,jul,unknown,no
32,blue-collar,single,secondary,no,no,yes,cellular,jul,unknown,no
25,admin.,single,secondary,no,no,yes,cellular,jul,unknown,no
28,admin.,single,secondary,no,no,yes,cellular,jul,unknown,no
34,blue-collar,married,primary,no,yes,yes,cellular,jul,unknown,no
26,management,single,tertiary,no,no,no,cellular,jul,unknown,no
56,blue-collar,married,primary,no,no,yes,cellular,jul,unknown,no
26,self-employed,single,secondary,no,no,no,cellular,jul,unknown,yes
33,admin.,single,tertiary,no,no,no,cellular,jul,unknown,no
55,retired,married,tertiary,no,no,yes,cellular,jul,unknown,no
25,technician,single,secondary,no,no,yes,cellular,jul,unknown,yes
38,admin.,married,secondary,no,no,yes,cellular,jul,unknown,no
27,services,single,secondary,no,no,no,cellular,jul,unknown,no
58,retired,married,unknown,no,no,yes,cellular,jul,unknown,no
25,blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,yes
42,blue-collar,married,primary,no,no,yes,cellular,jul,unknown,no
40,services,married,primary,no,no,yes,cellular,jul,unknown,no
30,technician,married,secondary,no,no,yes,cellular,jul,unknown,no
26,services,single,secondary,no,no,yes,cellular,jul,unknown,no
58,technician,married,unknown,no,no,yes,cellular,jul,unknown,no
59,retired,divorced,primary,no,no,yes,cellular,jul,unknown,no
48,management,single,secondary,no,no,yes,cellular,jul,unknown,no
59,services,divorced,secondary,no,no,yes,telephone,jul,unknown,no
34,admin.,single,tertiary,no,no,yes,cellular,jul,unknown,no
53,technician,divorced,primary,no,yes,yes,cellular,jul,unknown,no
42,unemployed,married,secondary,no,no,yes,cellular,jul,unknown,no
25,technician,single,secondary,no,no,yes,cellular,jul,unknown,no
25,management,single,secondary,no,no,yes,cellular,jul,unknown,no
28,admin.,single,unknown,no,no,no,cellular,jul,unknown,yes
41,admin.,single,secondary,no,no,no,cellular,jul,unknown,no
45,services,single,secondary,no,no,yes,cellular,jul,unknown,no
29,blue-collar,married,primary,no,no,no,cellular,jul,unknown,no
25,management,single,unknown,no,no,yes,cellular,jul,unknown,no
51,technician,married,secondary,no,no,yes,cellular,jul,unknown,no
26,management,single,tertiary,no,no,yes,cellular,jul,unknown,no
27,entrepreneur,single,unknown,no,no,no,cellular,jul,unknown,no
39,services,married,secondary,no,no,no,cellular,jul,unknown,no
30,student,single,unknown,no,no,yes,cellular,jul,unknown,no
25,self-employed,single,tertiary,no,no,yes,cellular,jul,unknown,no
29,management,married,tertiary,no,no,yes,cellular,jul,unknown,no
39,technician,married,secondary,no,no,no,cellular,jul,unknown,no
27,management,single,tertiary,yes,no,yes,cellular,jul,unknown,no
28,housemaid,married,secondary,no,yes,no,cellular,jul,unknown,no
38,admin.,married,secondary,no,no,yes,cellular,jul,unknown,no
60,retired,married,primary,no,no,no,telephone,jul,unknown,no
26,services,single,secondary,yes,no,no,cellular,jul,unknown,no
42,unemployed,divorced,secondary,no,no,no,cellular,jul,unknown,no
51,management,married,tertiary,no,no,yes,telephone,jul,unknown,no
30,blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,no
25,technician,single,secondary,no,no,yes,cellular,jul,unknown,yes
42,admin.,married,secondary,no,no,yes,cellular,jul,unknown,no
28,blue-collar,married,secondary,no,no,no,cellular,jul,unknown,no
33,admin.,single,secondary,no,no,no,cellular,jul,unknown,no
54,management,married,tertiary,no,no,yes,cellular,jul,unknown,no
42,management,married,tertiary,no,no,yes,cellular,jul,unknown,no
44,technician,divorced,secondary,no,no,no,telephone,jul,unknown,no
31,blue-collar,married,primary,no,no,no,telephone,jul,unknown,no
56,entrepreneur,married,tertiary,no,no,yes,cellular,jul,unknown,no
28,services,married,secondary,no,yes,yes,cellular,jul,unknown,yes
32,entrepreneur,divorced,secondary,no,no,yes,cellular,jul,unknown,no
55,blue-collar,married,secondary,yes,no,no,cellular,jul,unknown,no
31,self-employed,married,secondary,no,no,yes,cellular,jul,unknown,no
35,admin.,divorced,secondary,no,no,yes,cellular,jul,unknown,no
26,technician,single,secondary,no,no,yes,cellular,jul,unknown,no
40,blue-collar,married,primary,no,no,yes,cellular,jul,unknown,no
33,blue-collar,married,tertiary,no,no,yes,cellular,jul,unknown,no
25,blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,no
28,blue-collar,single,secondary,no,no,yes,cellular,jul,unknown,yes
41,admin.,married,secondary,no,no,yes,cellular,jul,unknown,no
37,blue-collar,married,primary,no,no,yes,cellular,jul,unknown,no
59,blue-collar,married,primary,no,no,no,cellular,jul,unknown,no
57,admin.,married,secondary,no,no,no,telephone,jul,unknown,no
34,self-employed,divorced,unknown,no,no,yes,cellular,jul,unknown,no
54,management,married,tertiary,no,no,no,cellular,jul,unknown,no
50,technician,married,primary,no,no,yes,cellular,jul,unknown,no
52,technician,married,secondary,no,no,no,cellular,jul,unknown,no
59,blue-collar,divorced,primary,no,no,yes,cellular,jul,unknown,no
33,entrepreneur,divorced,tertiary,no,no,yes,cellular,jul,unknown,yes
53,services,divorced,primary,no,no,yes,cellular,jul,unknown,no
26,management,single,tertiary,no,no,no,cellular,jul,unknown,no
45,management,divorced,tertiary,no,no,yes,cellular,jul,unknown,yes
56,admin.,single,secondary,no,no,no,cellular,jul,unknown,no
41,blue-collar,married,primary,no,yes,no,cellular,jul,unknown,no
35,self-employed,married,tertiary,yes,no,yes,cellular,jul,unknown,no
55,retired,married,secondary,no,no,yes,cellular,jul,unknown,no
28,management,married,tertiary,no,no,yes,cellular,jul,unknown,no
60,retired,married,secondary,no,no,yes,cellular,jul,unknown,no
35,entrepreneur,single,tertiary,yes,no,yes,cellular,jul,unknown,no
51,retired,married,secondary,no,no,yes,cellular,jul,unknown,no
36,services,married,secondary,no,no,yes,cellular,jul,unknown,yes
34,admin.,single,secondary,no,no,no,cellular,jul,unknown,no
33,services,single,secondary,no,no,no,cellular,jul,unknown,no
30,services,married,secondary,no,yes,yes,cellular,jul,unknown,no
35,blue-collar,married,primary,no,no,no,cellular,jul,unknown,no
56,retired,married,secondary,no,no,yes,cellular,jul,unknown,no
56,housemaid,married,primary,no,no,yes,cellular,jul,unknown,no
49,admin.,married,secondary,no,no,yes,telephone,jul,unknown,no
41,technician,single,secondary,no,no,no,cellular,jul,unknown,no
57,technician,married,primary,no,no,no,cellular,jul,unknown,no
33,housemaid,married,primary,no,yes,no,cellular,jul,unknown,no
29,blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,no
36,unemployed,married,secondary,no,no,no,cellular,jul,unknown,no
29,technician,single,secondary,no,yes,yes,cellular,jul,unknown,no
45,services,married,secondary,no,no,yes,cellular,jul,unknown,no
26,blue-collar,single,secondary,yes,no,yes,cellular,jul,unknown,yes
51,services,married,secondary,no,no,yes,cellular,jul,unknown,no
46,blue-collar,divorced,primary,no,no,yes,cellular,jul,unknown,no
29,technician,single,secondary,no,yes,no,cellular,jul,unknown,no
52,blue-collar,single,secondary,no,yes,no,cellular,jul,unknown,no
45,admin.,married,secondary,no,yes,no,cellular,jul,unknown,no
30,admin.,single,secondary,no,no,no,cellular,jul,unknown,no
33,services,married,secondary,no,no,yes,cellular,jul,unknown,no
29,self-employed,single,tertiary,no,yes,no,cellular,jul,unknown,no
36,unemployed,divorced,secondary,no,yes,no,cellular,jul,unknown,no
60,retired,divorced,secondary,no,no,yes,cellular,jul,unknown,no
35,services,single,primary,no,no,no,cellular,jul,unknown,no
33,management,single,tertiary,no,yes,no,cellular,jul,unknown,no
36,services,married,primary,no,no,yes,cellular,jul,unknown,no
28,blue-collar,married,secondary,no,yes,yes,cellular,jul,unknown,no
39,housemaid,divorced,secondary,no,no,no,cellular,jul,unknown,no
36,technician,single,secondary,no,no,no,cellular,jul,unknown,no
43,services,married,secondary,no,no,yes,cellular,jul,unknown,no
47,technician,married,secondary,no,yes,no,cellular,jul,unknown,no
25,services,single,secondary,no,no,no,cellular,jul,unknown,no
34,admin.,married,secondary,no,yes,yes,cellular,jul,unknown,no
60,management,married,secondary,no,yes,no,cellular,jul,unknown,no
25,blue-collar,single,secondary,no,no,no,telephone,jul,unknown,no
52,management,married,unknown,no,yes,no,cellular,jul,unknown,no
30,admin.,divorced,secondary,no,no,no,cellular,jul,unknown,no
38,housemaid,married,secondary,no,no,yes,cellular,jul,unknown,no
54,blue-collar,married,primary,no,no,yes,cellular,jul,unknown,no
31,blue-collar,married,secondary,no,yes,yes,cellular,jul,unknown,yes
29,services,single,secondary,no,no,yes,cellular,jul,unknown,no
37,blue-collar,divorced,secondary,no,no,yes,cellular,jul,unknown,no
28,management,single,tertiary,no,no,yes,cellular,jul,unknown,no
51,services,single,unknown,no,no,no,cellular,jul,unknown,no
55,technician,married,secondary,no,no,no,cellular,jul,unknown,no
52,blue-collar,married,secondary,no,yes,yes,cellular,jul,unknown,no
55,unemployed,married,secondary,no,no,yes,cellular,jul,unknown,no
25,admin.,married,secondary,no,yes,no,cellular,jul,unknown,no
34,technician,single,secondary,yes,no,yes,cellular,jul,unknown,no
59,management,married,tertiary,no,no,yes,cellular,jul,unknown,no
28,admin.,single,secondary,no,no,yes,cellular,jul,unknown,no
58,blue-collar,married,secondary,no,no,no,cellular,jul,unknown,no
45,technician,divorced,secondary,no,no,no,cellular,jul,unknown,no
60,management,married,secondary,no,no,yes,cellular,jul,unknown,no
29,services,single,secondary,no,no,yes,cellular,jul,unknown,no
55,unemployed,married,primary,no,no,yes,cellular,jul,unknown,no
54,blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,no
34,admin.,married,tertiary,no,no,no,cellular,jul,unknown,no
27,self-employed,single,tertiary,no,no,yes,cellular,jul,unknown,no
50,blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,no
38,blue-collar,single,secondary,no,no,no,cellular,jul,unknown,no
52,technician,married,secondary,no,no,yes,cellular,jul,unknown,no
59,retired,divorced,tertiary,no,no,yes,cellular,jul,unknown,no
49,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,no
44,management,married,tertiary,no,no,no,cellular,jul,unknown,no
35,admin.,single,secondary,no,no,yes,cellular,jul,unknown,no
28,management,single,unknown,no,no,yes,cellular,jul,unknown,no
43,blue-collar,divorced,primary,no,no,yes,cellular,jul,unknown,no
31,admin.,single,secondary,yes,yes,yes,cellular,jul,unknown,no
42,entrepreneur,married,tertiary,no,yes,no,cellular,jul,unknown,no
28,management,single,tertiary,no,yes,yes,cellular,jul,unknown,no
38,technician,married,secondary,no,no,no,cellular,jul,unknown,yes
52,technician,married,secondary,yes,no,no,cellular,jul,unknown,no
57,blue-collar,married,secondary,no,no,no,cellular,jul,unknown,no
30,blue-collar,married,primary,no,yes,yes,cellular,jul,unknown,no
27,services,single,secondary,no,no,yes,cellular,jul,unknown,no
28,admin.,single,secondary,no,no,no,cellular,jul,unknown,no
31,management,married,secondary,no,yes,no,cellular,jul,unknown,no
32,blue-collar,divorced,secondary,no,yes,no,cellular,jul,unknown,no
40,management,married,tertiary,no,yes,no,cellular,jul,unknown,no
45,technician,married,secondary,no,yes,no,cellular,jul,unknown,no
38,admin.,single,secondary,no,no,no,cellular,jul,unknown,no
52,admin.,married,secondary,no,no,yes,cellular,jul,unknown,no
56,blue-collar,single,secondary,no,no,yes,cellular,jul,unknown,yes
31,blue-collar,single,primary,no,no,yes,cellular,jul,unknown,no
42,blue-collar,married,secondary,yes,no,yes,cellular,jul,unknown,no
32,housemaid,married,primary,no,no,no,telephone,jul,unknown,no
35,services,married,secondary,no,no,yes,cellular,jul,unknown,no
37,blue-collar,married,primary,no,no,yes,telephone,jul,unknown,no
45,blue-collar,single,tertiary,no,no,yes,cellular,jul,unknown,no
58,management,married,tertiary,no,no,yes,cellular,jul,unknown,no
30,self-employed,married,secondary,no,no,yes,cellular,jul,unknown,no
48,admin.,married,secondary,no,no,yes,cellular,jul,unknown,no
28,technician,single,secondary,no,no,no,cellular,jul,unknown,no
54,blue-collar,married,primary,no,no,yes,telephone,jul,unknown,no
36,blue-collar,single,secondary,no,no,no,cellular,jul,unknown,no
41,blue-collar,single,secondary,no,no,yes,cellular,jul,unknown,no
25,technician,divorced,secondary,no,no,yes,cellular,jul,unknown,no
33,services,single,secondary,no,no,no,telephone,jul,unknown,no
49,blue-collar,single,primary,no,no,no,cellular,jul,unknown,no
39,admin.,married,secondary,no,yes,no,cellular,jul,unknown,no
30,technician,single,secondary,no,no,yes,cellular,jul,unknown,no
59,retired,married,primary,no,yes,no,telephone,jul,unknown,no
54,technician,married,tertiary,no,yes,yes,cellular,jul,unknown,no
57,management,married,tertiary,no,yes,no,cellular,jul,unknown,no
60,management,married,tertiary,no,yes,no,cellular,jul,unknown,no
32,admin.,married,secondary,no,no,no,cellular,jul,unknown,no
29,management,single,tertiary,no,no,no,cellular,jul,unknown,no
27,blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,no
26,admin.,single,secondary,no,no,yes,cellular,jul,unknown,yes
41,blue-collar,married,primary,no,no,no,cellular,jul,unknown,no
26,technician,single,secondary,no,no,no,cellular,jul,unknown,no
